ID_SCENARIO,vento_medio,std_vento,zavorra,angolo_rampa,delay_secondi,SIM_N,ANGOLO_ACC_C6,INCLINAZIONE
V2.0_T0.15_Z60,2.0,0.3,60,-8.9,2.3,1,,
V2.0_T0.15_Z60,2.0,0.3,60,-8.9,2.3,2,,
V2.0_T0.15_Z60,2.0,0.3,60,-8.9,2.3,3,,
V2.0_T0.15_Z60,2.0,0.3,60,-8.9,2.3,4,,
V2.0_T0.15_Z60,2.0,0.3,60,-8.9,2.3,5,,
V2.0_T0.15_Z60,2.0,0.3,60,-8.9,2.3,6,,
V2.0_T0.15_Z60,2.0,0.3,60,-8.9,2.3,7,,
V2.0_T0.15_Z60,2.0,0.3,60,-8.9,2.3,8,,
V2.0_T0.15_Z60,2.0,0.3,60,-8.9,2.3,9,,
V2.0_T0.15_Z60,2.0,0.3,60,-8.9,2.3,10,,
V4.0_T0.05_Z0,4.0,0.2,0,-12.0,1.1,1,,
V4.0_T0.05_Z0,4.0,0.2,0,-12.0,1.1,2,,
V4.0_T0.05_Z0,4.0,0.2,0,-12.0,1.1,3,,
V4.0_T0.05_Z0,4.0,0.2,0,-12.0,1.1,4,,
V4.0_T0.05_Z0,4.0,0.2,0,-12.0,1.1,5,,
V4.0_T0.05_Z0,4.0,0.2,0,-12.0,1.1,6,,
V4.0_T0.05_Z0,4.0,0.2,0,-12.0,1.1,7,,
V4.0_T0.05_Z0,4.0,0.2,0,-12.0,1.1,8,,
V4.0_T0.05_Z0,4.0,0.2,0,-12.0,1.1,9,,
V4.0_T0.05_Z0,4.0,0.2,0,-12.0,1.1,10,,
V4.0_T0.05_Z20,4.0,0.2,20,-13.2,0.9,1,,
V4.0_T0.05_Z20,4.0,0.2,20,-13.2,0.9,2,,
V4.0_T0.05_Z20,4.0,0.2,20,-13.2,0.9,3,,
V4.0_T0.05_Z20,4.0,0.2,20,-13.2,0.9,4,,
V4.0_T0.05_Z20,4.0,0.2,20,-13.2,0.9,5,,
V4.0_T0.05_Z20,4.0,0.2,20,-13.2,0.9,6,,
V4.0_T0.05_Z20,4.0,0.2,20,-13.2,0.9,7,,
V4.0_T0.05_Z20,4.0,0.2,20,-13.2,0.9,8,,
V4.0_T0.05_Z20,4.0,0.2,20,-13.2,0.9,9,,
V4.0_T0.05_Z20,4.0,0.2,20,-13.2,0.9,10,,
V4.0_T0.05_Z40,4.0,0.2,40,-15.2,1.85,1,,
V4.0_T0.05_Z40,4.0,0.2,40,-15.2,1.85,2,,
V4.0_T0.05_Z40,4.0,0.2,40,-15.2,1.85,3,,
V4.0_T0.05_Z40,4.0,0.2,40,-15.2,1.85,4,,
V4.0_T0.05_Z40,4.0,0.2,40,-15.2,1.85,5,,
V4.0_T0.05_Z40,4.0,0.2,40,-15.2,1.85,6,,
V4.0_T0.05_Z40,4.0,0.2,40,-15.2,1.85,7,,
V4.0_T0.05_Z40,4.0,0.2,40,-15.2,1.85,8,,
V4.0_T0.05_Z40,4.0,0.2,40,-15.2,1.85,9,,
V4.0_T0.05_Z40,4.0,0.2,40,-15.2,1.85,10,,
V4.0_T0.05_Z60,4.0,0.2,60,-15.1,1.55,1,,
V4.0_T0.05_Z60,4.0,0.2,60,-15.1,1.55,2,,
V4.0_T0.05_Z60,4.0,0.2,60,-15.1,1.55,3,,
V4.0_T0.05_Z60,4.0,0.2,60,-15.1,1.55,4,,
V4.0_T0.05_Z60,4.0,0.2,60,-15.1,1.55,5,,
V4.0_T0.05_Z60,4.0,0.2,60,-15.1,1.55,6,,
V4.0_T0.05_Z60,4.0,0.2,60,-15.1,1.55,7,,
V4.0_T0.05_Z60,4.0,0.2,60,-15.1,1.55,8,,
V4.0_T0.05_Z60,4.0,0.2,60,-15.1,1.55,9,,
V4.0_T0.05_Z60,4.0,0.2,60,-15.1,1.55,10,,
